source_file,company_name
sample_001.pdf,Frontier Biotech
sample_001.pdf,Summit Financials
sample_002.pdf,Quantum Dynamics
sample_002.pdf,Pioneer Softworks
sample_002.pdf,Velocity Auto
sample_002.pdf,Starlight Media
sample_003.pdf,Apex Manufacturing
sample_003.pdf,Oceanic Shipping
sample_003.pdf,Velocity Auto
sample_003.pdf,Starlight Media
sample_004.pdf,Blue Sky Ventures
sample_005.pdf,Quantum Dynamics
sample_005.pdf,Pioneer Softworks
sample_006.pdf,Velocity Auto
sample_006.pdf,Global Logistics Ltd
sample_007.pdf,Pioneer Softworks
sample_007.pdf,Green Energy Inc
sample_007.pdf,Oceanic Shipping
sample_007.pdf,Velocity Auto
sample_008.pdf,Zenith Consulting
sample_008.pdf,Pioneer Softworks
sample_009.pdf,Global Logistics Ltd
sample_010.pdf,Quantum Dynamics
sample_010.pdf,Pioneer Softworks
sample_010.pdf,Starlight Media
sample_011.pdf,Innovatech
sample_012.pdf,Innovatech
sample_013.pdf,Apex Manufacturing
sample_013.pdf,Zenith Consulting
sample_013.pdf,Summit Financials
sample_014.pdf,Quantum Dynamics
sample_014.pdf,Blue Sky Ventures
sample_014.pdf,Apex Manufacturing
sample_014.pdf,Global Logistics Ltd
sample_015.pdf,Frontier Biotech
sample_016.pdf,Innovatech
sample_017.pdf,Blue Sky Ventures
sample_017.pdf,Starlight Media
sample_018.pdf,Pioneer Softworks
sample_018.pdf,Evergreen Retail
sample_018.pdf,TechCorp Solutions
sample_018.pdf,Frontier Biotech
sample_019.pdf,TechCorp Solutions
sample_019.pdf,Innovatech
sample_020.pdf,Quantum Dynamics
sample_020.pdf,Starlight Media
